"","ID","Population","Pd2_001","X","Pd2_006","X_1","Pd2_007","X_2","Pd3_009","X_3","Pd3_008","X_4","Pd3_002","X_5","Pd3_010","X_6","Pd3_004","X_8","Pd4","X_9","Pd11","X_10","PV5","X_11"
"1","J01","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,163,163,144,144,146,168,232,232
"2","J02","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"3","J03","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"4","J04","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"5","J05","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,163,163,144,144,146,168,232,232
"6","J06","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"7","J07","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,163,163,144,144,146,168,232,232
"8","J08","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"9","J09","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"10","J10","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"11","J11","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"12","J12","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"13","J13","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"14","J14","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"15","J15","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,163,163,144,144,146,168,232,232
"16","J16","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"17","J17","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"18","J18","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"19","J19","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"20","J20","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,163,163,144,144,146,168,232,232
"21","J21","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"22","J22","Jicaro",199,205,195,195,332,351,337,352,163,166,194,194,277,277,NA,NA,144,144,166,166,228,228
"23","J23","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"24","J24","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"25","J25","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,163,163,144,144,146,168,232,232
"26","J26","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"27","J27","Jicaro",199,205,195,195,332,351,337,352,163,166,194,194,277,277,NA,NA,144,144,166,166,228,228
"28","J28","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"29","J29","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,163,163,144,144,146,168,232,232
"30","J30","Jicaro",205,205,193,195,332,332,337,352,163,163,194,194,277,277,144,163,144,144,146,168,232,232
"31","M01","Matapalo",205,205,195,195,332,332,337,337,163,163,191,194,273,273,144,144,144,144,146,148,232,232
"32","M02","Matapalo",205,205,195,195,332,332,337,337,163,163,191,194,273,273,144,144,144,144,146,148,232,232
"33","M03","Matapalo",205,205,195,195,332,332,337,337,163,163,191,194,273,273,144,144,144,144,146,148,232,232
"34","M04","Matapalo",205,205,195,195,332,332,337,337,163,163,191,194,273,273,144,144,144,144,146,148,232,232
"35","M05","Matapalo",205,205,195,195,332,332,337,337,163,163,191,194,273,273,144,144,144,144,146,148,232,232
"36","M06","Matapalo",205,205,195,195,332,332,337,337,163,163,191,194,273,273,144,144,144,144,146,148,232,232
"37","M07","Matapalo",205,205,195,195,332,332,337,337,163,163,191,194,273,273,144,144,144,144,146,148,232,232
"38","M08","Matapalo",205,205,195,195,332,332,337,337,163,163,191,194,273,273,144,144,144,144,146,148,232,232
"39","M09","Matapalo",202,202,195,195,332,332,337,337,163,166,191,194,273,273,144,144,144,144,146,166,228,230
"40","M10","Matapalo",202,202,195,195,332,332,337,337,163,166,191,194,273,273,144,144,144,144,146,166,228,230
"41","M11","Matapalo",202,202,195,195,332,332,337,337,163,166,191,194,273,273,144,144,144,144,146,166,228,230
"42","M12","Matapalo",202,202,195,195,332,332,337,337,163,166,191,194,273,273,NA,NA,144,144,146,166,228,230
"43","M13","Matapalo",202,202,195,195,332,332,337,337,163,166,191,194,273,273,144,144,144,144,146,166,228,230
"44","M14","Matapalo",202,202,195,195,332,332,337,337,163,166,191,194,273,273,144,144,144,144,146,166,228,230
"45","M15","Matapalo",202,202,195,195,332,332,337,337,163,166,191,194,273,273,144,144,144,144,146,166,228,230
"46","M16","Matapalo",202,202,195,195,332,332,337,337,163,166,191,194,273,273,144,144,144,144,146,166,228,230
"47","M17","Matapalo",199,199,193,193,283,306,340,340,163,166,194,196,NA,NA,169,169,140,140,130,130,NA,NA
"48","M18","Matapalo",202,202,195,195,332,332,337,337,163,166,191,194,273,273,144,144,144,144,146,166,228,230
"49","M19","Matapalo",202,202,195,195,332,332,337,337,163,166,191,194,273,273,144,144,144,144,146,166,228,230
"50","M20","Matapalo",205,205,195,195,332,332,337,337,163,163,191,194,273,273,144,144,144,144,146,166,232,232
"51","M21","Matapalo",199,199,193,193,259,353,340,340,160,163,194,197,NA,NA,166,169,140,140,130,140,240,240
"52","M22","Matapalo",199,199,193,193,259,353,340,340,160,163,194,197,NA,NA,169,169,140,140,130,140,240,240
"53","M23","Matapalo",199,199,193,193,259,353,340,340,160,163,194,197,NA,NA,169,169,140,140,130,140,240,240
"54","M24","Matapalo",199,199,193,193,259,353,340,340,160,163,194,197,NA,NA,169,169,140,140,130,140,240,240
"55","M25","Matapalo",199,199,193,197,306,356,340,340,163,166,194,197,NA,NA,169,169,140,140,130,140,226,226
"56","M26","Matapalo",199,199,191,193,353,446,340,340,157,157,196,196,NA,NA,166,169,140,140,130,130,NA,NA
"57","M27","Matapalo",199,199,191,193,353,446,340,340,157,157,196,196,NA,NA,166,169,140,140,130,130,NA,NA
"58","M28","Matapalo",200,200,195,201,283,398,340,340,157,160,196,196,NA,NA,169,169,140,140,130,138,226,226
"59","M29","Matapalo",199,199,193,195,306,398,340,340,157,163,196,196,NA,NA,169,169,140,140,138,138,240,240
"60","M30","Matapalo",199,199,195,197,283,283,340,340,160,166,196,196,NA,NA,169,169,140,140,132,140,226,239
"61","Z01","Zapotillal",199,199,197,197,398,398,340,340,157,163,196,196,NA,NA,166,169,140,140,130,140,232,232
"62","Z02","Zapotillal",200,200,193,195,398,398,340,340,163,163,197,197,NA,NA,169,169,140,140,130,140,226,226
"63","Z03","Zapotillal",200,200,191,193,306,398,340,343,163,166,196,196,NA,NA,169,169,140,140,130,140,NA,NA
"64","Z04","Zapotillal",200,200,193,193,398,398,340,340,163,166,197,197,NA,NA,169,169,140,140,138,138,226,228
"65","Z05","Zapotillal",200,200,191,193,356,398,340,340,157,166,194,196,NA,NA,169,169,140,140,130,130,224,226
"66","Z06","Zapotillal",199,200,193,195,283,353,343,343,160,166,194,197,NA,NA,169,169,140,140,138,140,226,233
"67","Z07","Zapotillal",205,205,193,195,332,332,337,337,163,163,NA,NA,NA,NA,NA,NA,144,144,166,166,228,228
"68","Z08","Zapotillal",199,199,191,195,283,306,340,340,160,166,197,197,NA,NA,169,169,140,140,138,140,240,240
"69","Z09","Zapotillal",200,200,195,195,398,398,349,349,157,166,194,197,NA,NA,169,169,140,140,130,130,NA,NA
"70","Z10","Zapotillal",199,199,191,193,330,398,340,340,163,166,196,196,NA,NA,169,169,140,140,130,132,NA,NA
"71","Z11","Zapotillal",200,200,193,201,353,398,340,349,160,163,197,197,NA,NA,169,169,140,140,130,138,234,234
"72","Z12","Zapotillal",199,199,193,193,283,398,340,340,157,160,194,196,NA,NA,169,169,140,140,130,138,224,224
"73","Z13","Zapotillal",199,199,193,193,330,398,340,343,157,163,197,197,NA,NA,166,169,140,140,132,132,NA,NA
"74","Z14","Zapotillal",205,205,195,201,332,332,337,352,163,163,191,194,273,278,144,144,144,144,166,172,232,232
"75","Z15","Zapotillal",205,205,195,195,332,332,337,340,163,163,NA,NA,273,273,144,144,144,144,159,159,228,228
"76","Z16","Zapotillal",199,199,193,195,356,398,340,346,157,160,194,197,NA,NA,169,169,140,140,138,140,NA,NA
"77","Z17","Zapotillal",202,205,195,195,351,351,337,337,163,163,NA,NA,NA,NA,144,144,144,144,146,166,232,232
"78","Z18","Zapotillal",200,200,191,193,330,376,343,343,166,166,196,196,NA,NA,169,169,140,140,130,130,234,234
"79","Z19","Zapotillal",200,200,191,193,398,398,NA,NA,160,163,196,196,NA,NA,169,169,140,140,138,140,NA,NA
"80","Z20","Zapotillal",199,199,193,193,356,376,340,340,163,166,196,196,NA,NA,169,169,140,140,130,138,226,226
"81","Z21","Zapotillal",200,200,193,195,283,398,NA,NA,160,163,194,197,NA,NA,169,169,140,140,130,130,226,226
"82","Z22","Zapotillal",200,205,191,193,398,398,340,340,160,166,194,197,273,278,169,169,140,140,130,138,NA,NA
"83","Z23","Zapotillal",200,205,193,195,283,398,340,340,163,166,197,197,273,273,169,169,140,140,130,140,NA,NA
"84","Z24","Zapotillal",199,199,195,195,283,398,340,340,160,163,194,197,NA,NA,169,169,140,140,130,140,240,240
"85","Z25","Zapotillal",199,199,195,195,351,398,340,340,157,163,197,197,NA,NA,166,169,140,140,130,130,228,228
"86","Z26","Zapotillal",200,200,193,193,330,353,340,340,163,166,194,197,NA,NA,169,169,140,140,140,140,234,234
"87","Z27","Zapotillal",199,199,193,193,353,398,334,349,160,160,196,196,NA,NA,169,169,140,140,138,138,234,234
"88","Z28","Zapotillal",200,200,193,193,398,398,340,340,157,163,194,197,NA,NA,169,169,140,140,130,130,230,230
"89","Z29","Zapotillal",199,199,191,193,398,446,340,340,157,166,197,197,NA,NA,169,169,140,140,138,140,226,226
"90","Z30","Zapotillal",200,200,191,195,398,398,340,340,160,163,194,196,NA,NA,169,169,140,140,130,130,230,238
